name	x	y	z	von	bis	fixed
AlbLimes	-0.147	1.059	-0.026	97	260	fixed
DonauLimesPhase1 	0.796	0.025	0.291	30	70	fixed
DonauLimesPhase2	0.186	0.113	0.273	70	260	fixed
Elisabethenstrasse	0.220	-0.175	-0.388	74	104	fixed
HadriansWall	-1.282	2.449	-0.815	0	0	schwebend
NoordzeeKust	-0.672	-0.420	-0.486	0	0	schwebend
Neckarlimes	-0.112	-0.099	1.334	117	260	fixed
Odenwaldlimes	-1.867	-0.809	0.253	110	260	fixed
Wetteraulimes	-0.932	-0.200	0.216	110	260	fixed
RaetischeLimes	-0.853	-1.055	-1.240	160	260	fixed
